name,e-number,toxicity,origin,clasif,link
Almidón Modificado,---,---,---,---,https://hablemosclaro.org/ingrepedia/almidon-modificado/
Beta Ciclodextrina,---,---,---,---,https://hablemosclaro.org/ingrepedia/beta-ciclodextrina/
Bromelina,---,---,---,---,https://hablemosclaro.org/ingrepedia/bromelina/
Carboximetilcelulosa (CMC),---,---,---,---,https://hablemosclaro.org/ingrepedia/carboximetilcelulosa-cmc/
Carragenina,---,---,---,---,https://hablemosclaro.org/ingrepedia/carragenina/
Celulosa Microcristalina,---,---,---,---,https://hablemosclaro.org/ingrepedia/celulosa-microcristalina/
Citrato de Trietilo,---,---,---,---,https://hablemosclaro.org/ingrepedia/citrato-de-trietilo/
Cloruro de Calcio,---,---,---,---,https://hablemosclaro.org/ingrepedia/cloruro-de-calcio/
Curdlán,---,---,---,---,https://hablemosclaro.org/ingrepedia/curdlan/
Dextrina,---,---,---,---,https://hablemosclaro.org/ingrepedia/dextrina/
Dioctilsulfosuccinato de Sodio (DSS),---,---,---,---,https://hablemosclaro.org/ingrepedia/dioctilsulfosuccinato-de-sodio-dss/
Estearoil Lactilato de Calcio (CSL),---,---,---,---,https://hablemosclaro.org/ingrepedia/estearoil-lactilato-de-calcio-csl/
Estearoil Lactilato de Sodio (SSL),---,---,---,---,https://hablemosclaro.org/ingrepedia/estearoil-lactilato-de-sodio-ssl/
Ésteres de Ácidos Grasos de Sacarosa,---,---,---,---,https://hablemosclaro.org/ingrepedia/esteres-de-acidos-grasos-de-sacarosa/
Etil Celulosa,---,---,---,---,https://hablemosclaro.org/ingrepedia/etil-celulosa/
Fosfato Tricálcico,---,---,---,---,https://hablemosclaro.org/ingrepedia/fosfato-tricalcico/
Gelatina / Grenetina,---,---,---,---,https://hablemosclaro.org/ingrepedia/gelatina-grenetina/
Glicerol (Glicerina),---,---,---,---,https://hablemosclaro.org/ingrepedia/
Goma de Algarrobo,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-de-algarrobo/
Goma Arábiga,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-arabiga/
Goma Cassia,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-cassia/
Goma Gelana,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-gelana/
Goma Ghatti,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-ghatti/
Goma Guar,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-guar/
Goma Tara,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-tara/
Goma de Tragacanto,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-de-tragacanto/
Goma de Xantano,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-de-xantano/
Hidroxipropilcelulosa,---,---,---,---,https://hablemosclaro.org/ingrepedia/hidroxipropilcelulosa/
Hidroxipropilmetilcelulosa,---,---,---,---,https://hablemosclaro.org/ingrepedia/hidroxipropilmetilcelulosa/
Metil Celulosa,---,---,---,---,https://hablemosclaro.org/ingrepedia/metil-celulosa/
Metil Etil Celulosa,---,---,---,---,https://hablemosclaro.org/ingrepedia/metil-etil-celulosa/
Pectina,---,---,---,---,https://hablemosclaro.org/ingrepedia/pectina/
Polidextrosa,---,---,---,---,https://hablemosclaro.org/ingrepedia/polidextrosa/
Polietilenglicol (PEG),---,---,---,---,https://hablemosclaro.org/ingrepedia/polietilenglicol-peg/
Pululan,---,---,---,---,https://hablemosclaro.org/ingrepedia/pululan/
Sales de Amonio del Ácido Fosfatídico,---,---,---,---,https://hablemosclaro.org/ingrepedia/sales-de-amonio-del-acido-fosfatidico/
Suero de Leche,---,---,---,---,https://hablemosclaro.org/ingrepedia/suero-de-leche/
Hidroxipropil dialmidón glicerol,---,---,---,---,https://hablemosclaro.org/hidroxipropil-dialmidon-glicerol/
Monolaurato de sorbitán polioxietilenado,---,---,---,---,https://hablemosclaro.org/monolaurato-de-s…polioxietilenado/
Monolaurato de sorbitán polioxietilenado,---,---,---,---,https://hablemosclaro.org/monooleato-de-so…polioxietilenado/
Glicerolado de dialmidón,---,---,---,---,https://hablemosclaro.org/glicerolado-de-dialmidon/
Fosfato de dialmidón fosfatado,---,---,---,---,https://hablemosclaro.org/fosfato-de-dialmidon-fosfatado/
Fosfato de dialmidón acetilado ,---,---,---,---,https://hablemosclaro.org/fosfato-de-dialmidon-acetilado//
Alginato de Amonio ,---,---,---,---,https://hablemosclaro.org/ingrepedia/alginato-de-amonio/
Alginato de Calcio,---,---,---,---,https://hablemosclaro.org/ingrepedia/alginato-de-calcio/
Alginato de Potasio,---,---,---,---,https://hablemosclaro.org/ingrepedia/alginato-de-potasio/
Alginato de Propilenglicol (PGA),---,---,---,---,https://hablemosclaro.org/ingrepedia/alginato-de-propilenglicol-pga/
Alginato de Sodio,---,---,---,---,https://hablemosclaro.org/ingrepedia/alginato-de-sodio/
Celulosa Microcristalina,---,---,---,---,https://hablemosclaro.org/ingrepedia/celulosa-microcristalina/
Ferrocianuros,---,---,---,---,https://hablemosclaro.org/ingrepedia/ferrocianuros/
Gelatina / Grenetina,---,---,---,---,https://hablemosclaro.org/ingrepedia/gelatina-grenetina/
Goma Arábiga,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-arabiga/
